,dxcc,prefix,name,continent
0,288,UR,UKRAINE,EU
1,284,SM,SWEDEN,EU
2,236,SV,GREECE,EU
3,146,LY,LITHUANIA,EU
4,266,LA,NORWAY,EU
5,27,EU,BELARUS,EU
6,52,ES,ESTONIA,EU
7,336,4X,ISRAEL,AS
8,130,UN,KAZAKHSTAN,AS
9,21,EA6,BALEARIC ISLANDS,EU
10,225,IS0,SARDINIA,EU
11,254,LX,LUXEMBOURG,EU
12,390,TA,TURKEY,"EU,AS"
13,215,5B,CYPRUS,AS
14,462,ZS,REPUBLIC OF SOUTH AFRICA,AF
15,179,ER,MOLDOVA,EU
16,318,BY,CHINA,AS
17,126,UA2,KALININGRAD,EU
18,502,Z3,NORTH MACEDONIA,EU
19,40,SV9,CRETE,EU
20,242,TF,ICELAND,EU
21,348,9K,KUWAIT,AS
22,137,HL,REPUBLIC OF KOREA,AS
23,32,EA9,CEUTA & MELILLA,AF
24,391,A6,UNITED ARAB EMIRATES,AS
25,370,A4,OMAN,AS
26,387,HS,THAILAND,AS
27,378,HZ,SAUDI ARABIA,AS
28,324,VU,INDIA,AS
29,257,9H,MALTA,EU
30,354,OD,LEBANON,AS
31,214,TK,CORSICA,EU
32,45,SV5,DODECANESE,EU
33,75,4L,GEORGIA,AS
34,114,GD,ISLE OF MAN,EU
35,514,4O,MONTENEGRO,EU
36,88,HP,PANAMA,
37,106,GU,GUERNSEY,EU
38,386,BU,TAIWAN,AS
39,132,ZP,PARAGUAY,SA
40,375,DU,PHILIPPINES,OC
41,321,VR,HONG KONG,AS
42,400,7X,ALGERIA,AF
43,376,A7,QATAR,AS
44,5,OH0,ALAND ISLANDS,EU
45,18,4J,AZERBAIJAN,AS
46,299,9M2,WEST MALAYSIA,AS
47,14,EK,ARMENIA,AS
48,251,HB0,LIECHTENSTEIN,EU
49,162,FK,NEW CALEDONIA,OC
50,292,UJ,UZBEKISTAN,AS
51,430,5Z,KENYA,AF
52,363,JT,MONGOLIA,AS
53,464,V5,NAMIBIA,AF
54,453,FR,REUNION ISLAND,AF
55,203,C31,ANDORRA,EU
56,233,ZB2,GIBRALTAR,EU
57,278,T7,SAN MARINO,EU
58,135,EX,KYRGYZSTAN,AS
59,7,ZA,ALBANIA,EU
60,304,A9,BAHRAIN,AS
61,237,OX,GREENLAND,
62,222,OY,FAROE ISLANDS,EU
63,95,J7,DOMINICA,
64,165,3B8,MAURITIUS ISLAND,AF
65,82,6Y,JAMAICA,
66,13,CE9,ANTARCTICA,AN
67,315,4S,SRI LANKA,AS
68,342,JY,JORDAN,AS
69,381,9V,SINGAPORE,AS
70,46,9M6,EAST MALAYSIA,OC
71,259,JW,SVALBARD,EU
72,424,9G,GHANA,AF
73,401,D2,ANGOLA,AF
74,293,3W,VIET NAM,AS
75,250,ZD7,SAINT HELENA,AF
76,104,CP,BOLIVIA,SA
77,440,7Q,MALAWI,AF
78,420,TR,GABON,AF
79,262,EY,TAJIKISTAN,AS
80,372,AP,PAKISTAN,AS
81,302,S0,WESTERN SAHARA,AF
82,456,6W,SENEGAL,AF
83,379,S7,SEYCHELLES ISLANDS,AF
84,478,SU,EGYPT,AF
85,260,3A,MONACO,EU
86,78,HH,HAITI,
87,86,YN,NICARAGUA,
88,482,9J,ZAMBIA,AF
89,74,YS,EL SALVADOR,
90,422,C5,THE GAMBIA,AF
91,207,3B9,RODRIGUEZ ISLAND,AF
92,190,5W,SAMOA,OC
93,454,9X,RWANDA,AF
94,470,5H,TANZANIA,AF
95,474,3V,TUNISIA,AF
96,438,5R,MADAGASCAR,AF
97,234,E5/S,SOUTH COOK ISLANDS,OC
