,prefix,entity,continent,itu_zone,cq_zone,dxcc_code,arrl_outgoing,third_party,note_nr,deleted
1,,Spratly Is.,AS,50,26,247,False,False,1,False
2,1A,Sovereign Military Order of Malta,EU,28,15,246,False,False,1,False
3,3A,Monaco,EU,27,14,260,True,False,,False
4,"3B6,7",Agalega & St. Brandon Is.,AF,53,39,004,False,False,,False
5,3B8,Mauritius,AF,53,39,165,False,False,,False
6,3B9,Rodrigues I.,AF,53,39,207,False,False,,False
7,3C,Equatorial Guinea,AF,47,36,049,False,False,,False
8,3C0,Annobon I.,AF,52,36,195,False,False,,False
9,3D2,Fiji,OC,56,32,176,True,False,,False
10,3D2,Conway Reef,OC,56,32,489,True,False,,False
11,3D2,Rotuma I.,OC,56,32,460,True,False,,False
12,3DA,Kingdom of Eswatini,AF,57,38,468,False,True,,False
13,3V,Tunisia,AF,37,33,474,True,False,,False
14,"3W,XV",Viet Nam,AS,49,26,293,False,False,,False
15,3X,Guinea,AF,46,35,107,False,False,,False
16,3Y,Bouvet,AF,67,38,024,True,False,,False
17,3Y,Peter 1 I.,AN,72,12,199,True,False,,False
18,"4J,4K",Azerbaijan,AS,29,21,018,False,False,,False
19,4L,Georgia,AS,29,21,075,True,False,,False
20,4O,Montenegro,EU,28,15,514,True,False,47,False
21,4S,Sri Lanka,AS,41,22,315,True,False,,False
22,4U_ITU,ITU HQ,EU,28,14,117,True,True,,False
23,4U_UN,United Nations HQ,NA,08,05,289,True,False,,False
24,4W,Timor-Leste,OC,54,28,511,False,False,44,False
25,"4X,4Z",Israel,AS,39,20,336,True,True,,False
26,5A,Libya,AF,38,34,436,False,False,,False
27,"5B,C4,P3",Cyprus,AS,39,20,215,True,False,,False
28,"5H,5I",Tanzania,AF,53,37,470,True,False,,False
29,5N,Nigeria,AF,46,35,450,True,False,,False
30,5R,Madagascar,AF,53,39,438,False,False,,False
31,5T,Mauritania,AF,46,35,444,False,False,2,False
32,5U,Niger,AF,46,35,187,False,False,3,False
33,5V,Togo,AF,46,35,483,False,False,,False
34,5W,Samoa,OC,62,32,190,True,False,,False
35,5X,Uganda,AF,48,37,286,True,False,,False
36,"5Y,5Z",Kenya,AF,48,37,430,True,False,,False
