,prefix,entity,continent,itu_zone,cq_zone,dxcc_code,arrl_outgoing,third_party,note_nr,deleted,paren,startdate,enddate,text
0,,Spratly Is.,AS,50,26,247,False,False,1,False,,,,Unofficial prefix.
1,1A,Sovereign Military Order of Malta,EU,28,15,246,False,False,1,False,,,,Unofficial prefix.
2,3A,Monaco,EU,27,14,260,True,False,,False,,,,
3,"3B6,7",Agalega & St. Brandon Is.,AF,53,39,004,False,False,,False,,,,
4,3B8,Mauritius,AF,53,39,165,False,False,,False,,,,
5,3B9,Rodrigues I.,AF,53,39,207,False,False,,False,,,,
6,3C,Equatorial Guinea,AF,47,36,049,False,False,,False,,,,
7,3C0,Annobon I.,AF,52,36,195,False,False,,False,,,,
8,3D2,Fiji,OC,56,32,176,True,False,,False,,,,
9,3D2,Conway Reef,OC,56,32,489,True,False,,False,,,,
10,3D2,Rotuma I.,OC,56,32,460,True,False,,False,,,,
11,3DA,Kingdom of Eswatini,AF,57,38,468,False,True,,False,,,,
12,3V,Tunisia,AF,37,33,474,True,False,,False,,,,
13,"3W,XV",Viet Nam,AS,49,26,293,False,False,,False,,,,
14,3X,Guinea,AF,46,35,107,False,False,,False,,,,
15,3Y,Bouvet,AF,67,38,024,True,False,,False,,,,
16,3Y,Peter 1 I.,AN,72,12,199,True,False,,False,,,,
17,"4J,4K",Azerbaijan,AS,29,21,018,False,False,,False,,,,
18,4L,Georgia,AS,29,21,075,True,False,,False,,,,
19,4S,Sri Lanka,AS,41,22,315,True,False,,False,,,,
20,4U_ITU,ITU HQ,EU,28,14,117,True,True,,False,,,,
21,4U_UN,United Nations HQ,NA,08,05,289,True,False,,False,,,,
22,"4X,4Z",Israel,AS,39,20,336,True,True,,False,,,,
23,5A,Libya,AF,38,34,436,False,False,,False,,,,
24,"5B,C4,P3",Cyprus,AS,39,20,215,True,False,,False,,,,
25,"5H,5I",Tanzania,AF,53,37,470,True,False,,False,,,,
26,5N,Nigeria,AF,46,35,450,True,False,,False,,,,
27,5R,Madagascar,AF,53,39,438,False,False,,False,,,,
28,5V,Togo,AF,46,35,483,False,False,,False,,,,
29,5W,Samoa,OC,62,32,190,True,False,,False,,,,
30,5X,Uganda,AF,48,37,286,True,False,,False,,,,
31,"5Y,5Z",Kenya,AF,48,37,430,True,False,,False,,,,
32,6Y,Jamaica,NA,11,08,082,True,True,,False,,,,
33,7P,Lesotho,AF,57,38,432,False,False,,False,,,,
34,7Q,Malawi,AF,53,37,440,False,False,,False,,,,
35,7T-7Y,Algeria,AF,37,33,400,True,False,,False,,,,
36,8P,Barbados,NA,11,08,062,True,False,,False,,,,
37,8Q,Maldives,"AS,AF",41,22,159,False,False,,False,,,,
38,8R,Guyana,SA,12,09,129,True,True,,False,,,,
39,9H,Malta,EU,28,15,257,True,False,,False,,,,
40,"9I,9J",Zambia,AF,53,36,482,True,False,,False,,,,
41,9K,Kuwait,AS,39,21,348,True,False,,False,,,,
42,9L,Sierra Leone,AF,46,35,458,False,True,,False,,,,
43,9N,Nepal,AS,42,22,369,False,False,,False,,,,
44,9Q-9T,Democratic Republic of the Congo,AF,52,36,414,True,False,,False,,,,
45,"9Y,9Z",Trinidad & Tobago,SA,11,09,090,True,True,,False,,,,
46,A2,Botswana,AF,57,38,402,True,False,,False,,,,
47,A3,Tonga,OC,62,32,160,False,False,,False,,,,
48,A4,Oman,AS,39,21,370,True,False,,False,,,,
49,A5,Bhutan,AS,41,22,306,False,False,,False,,,,
50,A6,United Arab Emirates,AS,39,21,391,False,False,,False,,,,
51,A7,Qatar,AS,39,21,376,True,False,,False,,,,
52,A9,Bahrain,AS,39,21,304,True,False,,False,,,,
53,AP,Pakistan,AS,41,21,372,True,False,,False,,,,
54,B,China,AS,(A),"23,24",318,True,False,,False,,,,
55,BU-BX,Taiwan,AS,44,24,386,True,False,,False,,,,
56,C2,Nauru,OC,65,31,157,False,False,,False,,,,
57,C3,Andorra,EU,27,14,203,True,False,,False,,,,
58,C5,The Gambia,AF,46,35,422,False,True,,False,,,,
59,C6,Bahamas,NA,11,08,060,False,False,,False,,,,
60,"C8,C9",Mozambique,AF,53,37,181,True,False,,False,,,,
61,CA-CE,Chile,SA,"14,16",12,112,True,True,,False,,,,
62,CE0,Easter I.,SA,63,12,047,True,True,,False,,,,
63,CE0,Juan Fernandez Is.,SA,14,12,125,True,True,,False,,,,
64,CE0,San Felix & San Ambrosio,SA,14,12,217,True,True,,False,,,,
65,CE9/KC4^,Antarctica,AN,(B),(C),013,True,False,,False,,,,
66,"CM,CO",Cuba,NA,11,08,070,True,True,,False,,,,
67,CN,Morocco,AF,37,33,446,False,False,,False,,,,
68,CP,Bolivia,SA,"12,14",10,104,True,True,,False,,,,
69,CT,Portugal,EU,37,14,272,True,False,,False,,,,
70,CT3,Madeira Is.,AF,36,33,256,True,False,,False,,,,
71,CU,Azores,EU,36,14,149,True,False,,False,,,,
72,CV-CX,Uruguay,SA,14,13,144,True,True,,False,,,,
