rank,prefix,dxcc,name,empty
1,P5,344,DPRK (NORTH KOREA),
2,BS7H,506,SCARBOROUGH REEF,
3,CE0X,217,SAN FELIX ISLANDS,
4,BV9P,505,PRATAS ISLAND,
5,KH7K,138,KURE ISLAND,
6,KH3,123,JOHNSTON ISLAND,
7,FT/G,99,GLORIOSO ISLAND,
8,3Y/P,199,PETER 1 ISLAND,
9,FT5/X,131,KERGUELEN ISLAND,
10,YV0,17,AVES ISLAND,
11,3Y/B,24,BOUVET ISLAND,
12,ZS8,201,PRINCE EDWARD & MARION ISLANDS,
13,KH4,174,MIDWAY ISLAND,
14,VK0M,153,MACQUARIE ISLAND,
15,PY0S,253,SAINT PETER AND PAUL ROCKS,
16,PY0T,273,TRINDADE & MARTIM VAZ ISLANDS,
17,KP5,43,DESECHEO ISLAND,
18,VP8S,240,SOUTH SANDWICH ISLANDS,
19,KH5,197,PALMYRA & JARVIS ISLANDS,
20,ZL9,16,NEW ZEALAND SUBANTARCTIC ISLANDS,
21,FK/C,512,CHESTERFIELD ISLANDS,
22,VK0H,111,HEARD ISLAND,
23,EZ,280,TURKMENISTAN,
24,YK,384,SYRIA,
25,FT/T,276,TROMELIN ISLAND,
26,ZL8,133,KERMADEC ISLAND,
27,KH8/S,515,SWAINS ISLAND,
28,FT5/W,41,CROZET ISLAND,
29,VP8G,235,SOUTH GEORGIA ISLAND,
30,XF4,204,REVILLAGIGEDO,
31,KH1,20,BAKER HOWLAND ISLANDS,
32,KH9,297,WAKE ISLAND,
33,SV/A,180,MOUNT ATHOS,
34,JD/M,177,MINAMI TORISHIMA,
35,VK9M,171,MELLISH REEF,
36,FT/J,124,JUAN DE NOVA_ EUROPA,
37,FO/C,36,CLIPPERTON ISLAND,
38,TI9,37,COCOS ISLAND,
39,HK0/M,161,MALPELO ISLAND,
40,KP1,182,NAVASSA ISLAND,
41,VK9W,303,WILLIS ISLAND,
42,FT5Z,10,AMSTERDAM & ST PAUL ISLANDS,
43,ZD9,274,TRISTAN DA CUNHA & GOUGH ISLANDS,
44,H40,507,TEMOTU PROVINCE,
45,7O,492,YEMEN,
46,VP8O,238,SOUTH ORKNEY ISLANDS,
47,XZ,309,MYANMAR,
48,ZK3,270,TOKELAU ISLANDS,
49,3D2/C,489,CONWAY REEF,
50,3C0,195,ANNOBON,
51,1S,247,SPRATLY ISLANDS,
52,R1F,61,FRANZ JOSEF LAND,
53,C21,157,NAURU,
54,T5,232,SOMALIA,
55,T2,282,TUVALU,
56,T31,31,CENTRAL KIRIBATI,
57,VU4,11,ANDAMAN & NICOBAR ISLANDS,
58,FO/M,509,MARQUESAS ISLANDS,
59,T33,490,BANABA ISLAND,
60,VK9L,147,LORD HOWE ISLAND,
61,CE0Z,125,JUAN FERNANDEZ ISLANDS,
62,CY9,252,SAINT PAUL ISLAND,
63,E5/N,191,NORTH COOK ISLANDS,
64,E3,51,ERITREA,
65,VP6,172,PITCAIRN ISLAND,
66,VP6/D,513,DUCIE ISLAND,
67,VK9X,35,CHRISTMAS ISLAND,
68,VK9C,38,COCOS (KEELING) ISLAND,
69,VU7,142,LAKSHADWEEP ISLANDS,
70,FO/A,508,AUSTRAL ISLANDS,
71,T32,48,EASTERN KIRIBATI,
72,CY0,211,SABLE ISLAND,
