ALASKA 	NL7QY
ANGUILLA 	VP2EIH
ANTIGUA & BARBUDA 	V26K
ARGENTINA 	LT6M
ARUBA 	P44X
ASIATIC RUSSIA 	RA0FLP
AUSTRALIA 	VK3AXI
AUSTRIA 	OE6MBG
AZORES 	CU8AF
BAHAMAS 	C6AQQ
BARBADOS 	8P6ET
BELGIUM 	OT4A
BELIZE 	V31MA
BERMUDA 	VP9I
BONAIRE 	PJ4EL
BOSNIA-HERZEGOVINA 	E77DX
BRAZIL 	PY2PT
BULGARIA 	LZ8E
CANADA 	VA3MJR
CANARY ISLANDS 	EA8TN
CAPE VERDE 	D4Z
CAYMAN ISLANDS 	ZF1A
CHILE 	CE7VP
COLOMBIA 	HK3LRB
COSTA RICA 	TI200I
CROATIA 	9A2EU
CUBA 	CO3DK
CURACAO 	PJ2T
CZECH REPUBLIC 	OK4YL
DENMARK 	OZ1RH
DOMINICAN REPUBLIC 	HI8RD
ECUADOR 	HC2AO
ENGLAND 	G0DBE
EUROPEAN RUSSIA 	RK4FF
FALKLAND ISLANDS 	VP8YLJ
FEDERAL REPUBLIC OF GERMANY 	DK7ZT
FIJI ISLANDS 	3D2AG
FINLAND 	OG73X
FRANCE 	F6DZU
FRENCH GUIANA 	FY5KE
GUADELOUPE 	FG1GW
GUAM 	KG6JDX
GUATEMALA 	TG9ANF
HAWAII 	NH7QH
HONDURAS 	HQ9X
HUNGARY 	HA1RB
INDONESIA 	YC1SDL
IRELAND 	EI100C
ITALY 	IW2ILQ
JAPAN 	JR7VHZ
JERSEY 	GJ0KYZ
LATVIA 	YL7X
MADEIRA ISLANDS 	CR3W
MARTINIQUE 	FM5BH
MAURITANIA 	5T5PA
MEXICO 	XE2J
MOROCCO 	CN3A
NETHERLANDS 	PD7RF
NEW ZEALAND 	ZM4T
NORTHERN IRELAND 	MI0NWA
PERU 	OA4EA
POLAND 	SN7D
PORTUGAL 	CT1BCP
PUERTO RICO 	WP4J
ROMANIA 	YO9HP
SAINT KITTS & NEVIS 	V47T
SAINT LUCIA 	J68HZ
SAINT MARTIN 	TO5M
SAINT VINCENT 	J88IH
SAMOA 	5W1SA
SCOTLAND 	MM9I
SERBIA 	YT0W
SLOVENIA 	S52D
SPAIN 	EA1IOK
SURINAME 	PZ5CO
SWITZERLAND 	HB9EFK
TRINIDAD & TOBAGO 	9Y4DG
TURKS & CAICOS ISLANDS 	VP5M
UNITED STATES OF AMERICA 	K6SZQ
URUGUAY 	CX9AU
US VIRGIN ISLANDS 	NP2X
VENEZUELA 	YV5JLO
WALES 	MW5B
