,dxcc,prefix,name,continent
0,288,UR,UKRAINE,EU
1,503,OK,CZECH REPUBLIC,EU
2,224,OH,FINLAND,EU
3,15,UA0,ASIATIC RUSSIA,AS
4,284,SM,SWEDEN,EU
5,212,LZ,BULGARIA,EU
6,287,HB,SWITZERLAND,EU
7,236,SV,GREECE,EU
8,504,OM,SLOVAK REPUBLIC,EU
9,146,LY,LITHUANIA,EU
10,266,LA,NORWAY,EU
11,279,GM,SCOTLAND,EU
12,27,EU,BELARUS,EU
13,501,E7,BOSNIA-HERZEGOVINA,EU
14,52,ES,ESTONIA,EU
15,145,YL,LATVIA,EU
16,294,GW,WALES,EU
17,336,4X,ISRAEL,AS
18,265,GI,NORTHERN IRELAND,EU
19,130,UN,KAZAKHSTAN,AS
20,21,EA6,BALEARIC ISLANDS,EU
21,225,IS0,SARDINIA,EU
22,254,LX,LUXEMBOURG,EU
23,390,TA,TURKEY,"EU,AS"
24,215,5B,CYPRUS,AS
25,462,ZS,REPUBLIC OF SOUTH AFRICA,AF
26,179,ER,MOLDOVA,EU
27,318,BY,CHINA,AS
28,126,UA2,KALININGRAD,EU
29,502,Z3,NORTH MACEDONIA,EU
30,144,CX,URUGUAY,SA
31,40,SV9,CRETE,EU
32,242,TF,ICELAND,EU
33,348,9K,KUWAIT,AS
34,137,HL,REPUBLIC OF KOREA,AS
35,32,EA9,CEUTA & MELILLA,AF
36,391,A6,UNITED ARAB EMIRATES,AS
